~~ pass : , 044*4591B#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/BA4B4**99BB1C7019.wav" decoded to "BA4B4**99BB11C7019" instead of "BA4B4**99BB1C7019"
~~ pass : , 54*B18#A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/959C6B9.wav" decoded to "959C6B" instead of "959C6B9"
~~ pass : , C6*2AAA79
~~ pass : , A4531*#B9B1#30
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/3BA7A7300C509C2#.wav" decoded to "3BAA7300C509C2#" instead of "3BA7A7300C509C2#"
~~ pass : , #4#*CCA
~~ pass : , C#5AC49#349
~~ pass : , 0A2634*49BC43#6402B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/6A6AB8CC610*.wav" decoded to "6A6AB8C61*" instead of "6A6AB8CC610*"
~~ pass : , A037A#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/ABCAA384A#7.wav" decoded to "AABCAA384A#7" instead of "ABCAA384A#7"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/07265204#*B.wav" decoded to "0726504#**B" instead of "07265204#*B"
~~ pass : , 2A*A8A51#87#B3
~~ pass : , A2B7#197B327B98
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/872#6A3795AC9.wav" decoded to "872#6A3795A9" instead of "872#6A3795AC9"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/A035CA*2.wav" decoded to "A0335CA2" instead of "A035CA*2"
~~ pass : , 077027B*0AC0*4B
~~ pass : , 806CC27B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/B23#B90A4#44C7#73*.wav" decoded to "B23#B90A#44C7#73*" instead of "B23#B90A4#44C7#73*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-3dBm to -1dBm/#15A9528AB05914*2.wav" decoded to "#159528AB059114*2" instead of "#15A9528AB05914*2"
~~ pass : , 0968BA5461B14A67206
~~ pass : , AC76163*
~~ pass : , 3#*BB
~~ pass : , 06A670B*2A1C79*
~~ pass : , #1975C304
~~ pass : , *BB0AC5AB6C615
